Count,Region,Guild,Player,UID,CP,FDU,FDD,Total Finals,Tribulation,Has Chaos,Updated?
108,NA,DownFall,OnlyKarns,81016709240,1170,462.2,505.5,967.7,CK3,Luohou,Y
109,NA,HeavenFighters,HF-Larking,81020591478,972.99,474.5,471.3,945.8,CK2,N,Y
110,NA,Dominion,⚔︎Morregan⚔︎,81002039654,1410,467.5,477.1,944.6,CK3,Diting,Y
111,NA,HeavenFighters,HF-Sugoiboy,81019784365,2050,375.5,567.3,942.8,CE2,N,Y
112,NA,DownFall,I♥️Jakedaddy,81018621957,643.14,463.7,479,942.7,DL3,Diting,Y
113,NA,DownFall,DFHecale,81013920362,1440,457.6,479.6,937.2,CE1,N,Y
114,NA,Underdogs,𝕌𝔻☆Player,81012271938,1500,456.4,480.2,936.6,CK3,Diting,Y
115,NA,CosaNostra,Ryu♥️💀🤖,81019065460,1310,465.9,460.9,926.8,CK3,N,Y
116,NA,|MF|Misfits,xulnx,81003992926,2280,459.4,465.7,925.1,CE3,N,Y
117,NA,UnderWorld,UW-StHubbins,81017345855,1420,443.6,479.8,923.4,CK3,N,Y
118,NA,UnderWorld,(UW)Pinotte,81015283025,1740,438.6,482.3,920.9,CE1,N,Y
119,NA,StarWar,✰☬ꌗMOKEℝ,81008063281,96.43,433.5,472.1,905.6,CI3,Kunpeng,Y
120,NA,StarWar,💫⚔️Chop,81010392864,914.89,424.4,470,894.4,CK1,N,AFK
121,NA,HeavenFighters,HF-Reaper,81020517671,136.41,389.2,503.1,892.3,SI3,N,Y
122,NA,Divinity,Beast🐾,81024541449,436.28,427,462.8,889.8,DL2,Diting,Y
123,NA,HeavenFighters,HF-Sylphy,81019509419,1440,400.9,487,887.9,CE1,N,Y
124,NA,DownFall,DfGriz,81015353243,680.56,442.1,442.4,884.5,CK1,N,Y
125,NA,Dominion,⚔︎Short⚔,81004563640,1370,428.5,455.8,884.3,CE1,N,Y
126,NA,StarWar,✰☬|𝔻ify,81011632097,1260,419.3,462.7,882,CK3,N,Y
127,NA,StarWar,✰☬–Faygo,81010638785,1010,423.7,454.8,878.5,CK2,Kunpeng,Y
128,NA,HeavenFighters,HF-起步见坤,81020116834,52.11,418.8,459.2,878,TI3,Diting,Y
129,NA,Liberation,🛡MEGA🛡,81002483254,871.67,426.4,451.6,878,CK2,Luohou,AFK
130,NA,DownFall,DF~Kitagawa,81014141646,628.04,436.7,435.2,871.9,CK2,N,Y
131,NA,Liberation,🛡️Buraza🛡,81001285868,1080,395.9,473.4,869.3,CK3 ,N,Y
132,NA,HeavenFighters,HF-Vindir,81024000419,1120,418.8,446.9,865.7,CK3,Luohou,Y
133,NA,StarWar,✰☬|DarkSutra,81009872392,1180,399.8,465.8,865.6,CK3,N,Y
